Reporter Identifier	VALUE	RAW	FLAGS	UNF_VALUE
16163	1.673	135.7	P	1.673
35032	0.74	747.3	P	0.74
15411	1.02	175.4	P	1.02
9797		4.249	A	0.546
17532	0.983	"15,440"	P	0.983
7777	1.179	688	P	1.179
9669		4.432	A	1.378
24520		5.892	A	0.623
1825	1.122	"13,791"	P	1.122
32060		4.69	A	1.178
6442	0.802	"3,791"	P	0.802
11501	0.913	"8,689"	P	0.913
16444	1.475	87.14	P	1.475
12820		3.907	A	1.16
11934	1.383	"63,200"	P	1.383
822	0.429	533.6	P	0.429
19691	0.936	30.18	P	0.936
35453	0.877	844.7	P	0.877
31415	0.879	334.2	P	0.879
8161	1.242	156	P	1.242
30692	1.1	"9,233"	P	1.1
16464	0.995	"82,546"	P	0.995
8636	0.557	"2,418"	P	0.557
8162	0.701	"1,079"	P	0.701
9611	0.919	476.4	P	0.919
7311	1.323	349	P	1.323
2779		15.21	A	0.975
18690	2.117	399.4	P	2.117
23237		4.181	A	1.464
1268	0.803	"6,164"	P	0.803
4390	0.854	142	P	0.854
2571	0.906	"1,722"	P	0.906
3217	0.921	596.5	P	0.921
10107	1.337	170.6	P	1.337
17923	0.526	281.4	P	0.526
26068	4.316	219.5	P	4.316
27450	1.528	341.9	P	1.528
3639	0.775	"1,056"	P	0.775
23081	1.003	925.1	P	1.003
12628	7.329	46.24	P	7.329
3089		14.2	A	0.446
16293		11.72	A	0.802
10900	1.442	983.7	P	1.442
32774		4.835	A	1.494
6482	0.684	182.1	P	0.684
7178	1.148	734.5	P	1.148
25519	6.607	349.8	P	6.607
28958	21.54	491.3	P	21.54
20943	1.379	235.2	P	1.379
6589	0.402	97.11	P	0.402
16686	1.552	200.9	P	1.552
7044	1.726	892.4	P	1.726
12380	1.495	116.6	P	1.495
5378	0.841	518.5	P	0.841
30619		14.7	A	0.675
8327	0.635	53.49	P	0.635
30730		15.9	A	2.507
26394		4.087	A	0.0409
31258	1.093	"3,072"	P	1.093
17476	0.947	961.3	P	0.947
29121	1.286	"5,516"	P	1.286
8414	1.135	73.2	P	1.135
6206	1.573	"1,094"	P	1.573
7148	1.348	"1,864"	P	1.348
7323		7.382	A	1.189
25235	2.06	41.77	P	2.06
11246	0.961	"4,706"	P	0.961
1537	0.941	184.8	P	0.941
2409	1.134	"3,111"	P	1.134
2599	0.665	947.2	P	0.665
8682	0.935	"1,040"	P	0.935
